id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>
1	"aamodt, agnar"	-0.5242	-0.5496	47	2	2	1
2	"abe, k"	-0.062	-0.9276	2	9	9	1
3	"abe, kenshin"	0.5862	-0.2817	3	9	9	1
4	"abe, s"	-0.0437	-0.8439	2	9	9	1
5	"aguzzi, jacopo"	-0.0347	0.7985	31	3	3	1
6	"alcaraz-segura, domingo"	0.0916	1.0414	26	4	4	1
7	"ali, zain anwar"	-0.7416	0.7794	36	3	3	1
8	"allen, jason b"	0.5976	-0.2339	3	9	9	1
9	"alnashwan, rana othman"	-0.4945	-0.1433	11	6	6	1
10	"alonso-fernández, alexandre"	0.7882	0.3346	32	3	3	1
11	"alshdaifat, nawaf farhan funkur"	-0.1719	1.0226	40	2	2	1
12	"an, senjian"	0.7568	-0.6352	7	7	13	2
13	"antelo, luis t"	0.7561	0.3393	32	3	3	1
14	"ashe, erin"	0.5709	-0.2072	3	9	9	1
15	"athota, sai ruthvik"	0.1537	-0.3918	17	5	5	1
16	"aviles‐rivero, angelica i"	0.1244	0.0356	1	9	9	1
17	"baek, jong-won"	0.2841	-1.0011	46	2	2	1
18	"ben tamou, abdelouahid"	-0.7424	-0.0599	41	2	4	2
19	"bennamoun, mohammed"	0.7767	-0.5899	7	7	13	2
20	"benzinou, abdesslam"	-0.7215	-0.0897	41	2	4	2
21	"berg, paul"	0.3674	0.9468	37	3	3	1
22	"bezy, vanessa s"	0.316	0.0446	1	6	6	1
23	"bierlich, kevin c"	0.3245	-0.0848	1	5	5	1
24	"bigot, lionel"	0.0204	0.5258	8	7	7	1
25	"blanquero, rafael"	0.7814	0.3017	32	3	3	1
26	"bogucki, robert"	-0.9361	0.1526	18	5	5	1
27	"borowicz, alex"	0.2516	0.6805	10	6	6	1
28	"boudaoud, lynda ben"	0.9339	-0.3947	33	3	3	1
29	"boussaid, farid"	0.7544	-0.5446	7	7	13	2
30	"bu, yu-xin"	-0.1401	-0.1396	5	8	8	1
31	"burman, emil"	-0.351	-0.4308	25	4	4	1
32	"butcher, paul"	-0.4855	-0.8285	35	3	3	1
33	"cao, shuo"	-0.6498	-0.3177	34	3	3	1
34	"casado, mónica rivas"	-1.1805	0.2654	53	1	1	1
35	"chang, qiuyue"	0.2228	0.3528	19	5	5	1
36	"chatzievangelou, damianos"	-0.0409	0.8296	31	3	3	1
37	"chaumont, marc"	-0.277	0.3661	4	6	6	1
38	"cheeseman, ted"	0.5366	-0.1786	3	9	9	1
39	"chelloug, samia allaoua"	-0.4526	-0.1478	11	6	6	1
40	"chen, liansheng"	-0.8887	-0.2328	16	3	3	1
41	"chevallier, alexis"	0.9337	-0.3626	33	3	3	1
42	"chimirala, pranavi"	-0.281	-1.0336	42	2	2	1
43	"chimote, pranav"	-0.2849	0.6876	20	5	5	1
44	"claverie, thomas"	-0.3782	0.405	4	9	12	2
45	"colefax, andrew p"	-0.475	-0.8731	35	3	3	1
46	"conruyt, noël"	-0.0721	0.5437	8	7	7	1
47	"cubaynes, hannah c"	0.1475	-0.0052	1	9	9	1
48	"cygan, marek"	-0.8718	0.1171	18	5	5	1
