Title,Author/s,Source Title,Year,Keywords
Automatic segmentation of fish using deep learning with application to fish size measurement,"Garcia, Rafael; Prados, Ricard;  Quintana, Josep; Tempelaar, Alexander; Gracias, Nuno; Rosen, Shale;  Havard Vagstol; Lovall, Kristoffer",Oxford academic,2020,deep learning; fish sizing; trawl camera system
Research on multiple jellyfish classification and detection based on deep learning,"Han, Ying; Chang, Qiuyue; Ding, Shuaimin; Gao, Meijing; Zhang, Bozhi; Li, Shiyu",Springer,2022,jellyfish detection; image preprocessing; deep learning; convolutional neural network
A study on enhancement of fish recognition using cumulative mean of YOLO network in underwater video images,"Park, Jin-Hyun; Kang, Changgu",MDPI,2020,exotic invasive species; object classification; video image; yolo
CME-YOLOv5: An efficient object detection network for densely spaced fish and small targets,"Li, Jianyuan; Liu, Chunna; Lu, Xiaochun; Wu, Bilang",MDPI,2022,densely spaced fish; small targets; CME-YOLOv5; attention mechanism; multiscale; loss function
Development of fish spatio-temporal identifying technology using SegNet in aquaculture net cages,"Abe, S; Takagi, T; Torisawa, S; Abe, K; Habe, H; Iguchi, N; Takehara, K; Masuma, S; Yagi, H; Yamaguchi, T",Elsevier/ScienceDirect,2021,aquaculture management; fish counting; particle tracking velocimetry; semantic segmentation
A spatio-temporal recurrent network for salmon feeding action recognition from underwater videos in aquaculture,"Måløy, Håkon; Aamodt, Agnar; Misimi, Ekrem",Elsevier/ScienceDirect,2019,fish action/behaviour recognition; fish feeding; aquaculture; convolutional neural network; recurrent neural network; action recognition; video analysis; optical flow
Automatic fish population counting by machine vision and a hybrid deep neural network model,"Zhang, Song; Yang, Xinting; Wang, Yizhong; Zhao, Zhenxi; Liu, Jintao; Liu, Yang; Sun, Chuanheng; Zhou, Chao",MDPI,2020,aquaculture; automatic fish counting; hybrid neural network; machine vision
AquaVision: AI-Powered Marine Species Identification,"Mifsud Scicluna, Benjamin; Gauci, Adam; Deidun, Alan",MDPI,2024,image classification; machine learning; convolutional neural networks; citizen science; mediterranean basin; invasive alien species
Automatic Recognition of Marine Creatures using Deep Learning,"Ittoo, Oudayrao; Pudaruth, Sameerchand",Science and Information Organization,2024,marine creature identification; machine learning; deep learning; mobilenet; mauritius
finFindR: Automated recognition and identification of marine mammal dorsal fins using residual convolutional neural networks,"Thompson, Jaime W; Zero, Victoria H; Schwacke, Lori H; Speakman, Todd R; Quigley, Brian M; Morey, Jeanine S; McDonald, Trent L",Wiley Online Library,2018,automated detection; cetacean; dolphin; machine learning; neural network; noninvasive sampling; photo-identification; Tursiops truncatus
Drones and convolutional neural networks facilitate automated and accurate cetacean species identification and photogrammetry,"Gray, Patrick C; Bierlich, Kevin C; Mantell, Sydney A; Friedlaender, Ari S; Goldbogen, Jeremy A; Johnston, David W",Wiley Online Library,2019,cetaceans; convolutional neural network; deep learning; drones; photogrammetry; population assessments; species identification; unoccupied aerial systems
Applying deep learning to right whale photo identification,"Bogucki, Robert; Cygan, Marek; Khan, Christin Brangwynne; Klimek, Maciej; Milczek, Jan Kanty; Mucha, Marcin",Wiley Online Library,2019,algorithm; automated image recognition; computer vision; convolutional neural networks; kaggle competition; machine learning; photo identification
Aerial-trained deep learning networks for surveying cetaceans from satellite imagery,"Borowicz, Alex; Le, Hieu; Humphries, Grant; Nehls, Georg; Höschle, Caroline; Kosarev, Vladislav; Lynch, Heather J",PLOS ONE,2019,--
A convolutional neural network for detecting sea turtles in drone imagery,"Gray, Patrick C; Fleishman, Abram B; Klein, David J; McKown, Matthew W; Bezy, Vanessa S; Lohmann, Kenneth J; Johnston, David W",Wiley Online Library,2019,convolutional neural network; deep learning; marine megafauna; marine population monitoring; object detection; sea turtles; unoccupied aircraft systems
Whale counting in satellite and aerial images with deep learning,"Guirado, Emilio; Tabik, Siham; Rivas, Marga L; Alcaraz-Segura, Domingo; Herrera, Francisco",Nature,2019,--
JellyNet: The convolutional neural network jellyfish bloom detector,"Mcilwaine, Ben; Casado, Mónica Rivas",Elsevier/ScienceDirect,2021,jellyfish bloom; unmanned aerial vehicle; machine learning; convolutional neural network; remote sensing; deep learning
Marine bird detection based on deep learning using high-resolution aerial images,"Boudaoud, Lynda Ben; Maussang, Frederic; Garello, René; Chevallier, Alexis",IEEE,2022,birds; training; computational modeling; deep learning; computer vision; aircraft; task analysis
Weakly supervised detection of marine animals in high resolution aerial images,"Berg, Paul; Santana Maia, Deise; Pham, Minh-Tan; Lefèvre, Sébastien",MDPI,2021,marine animal monitoring; anomaly detection; deep learning; weakly supervised learning; convolutional neural networks
A deep learning approach to photo–identification demonstrates high performance on two dozen cetacean species,"Patton, Philip T; Cheeseman, Ted; Abe, Kenshin; Yamaguchi, Taiki; Reade, Walter; Southerland, Ken; Howard, Addison; Oleson, Erin M; Allen, Jason B; Ashe, Erin",Wiley Online Library,2023,artificial intelligence; cetacean; computer vision; convolutional neural network; deep learning; dolphin; dorsal; lateral; machine learning; multi–species; photo–identification; whale
Assessing the ability of deep learning techniques to perform real-time identification of shark species in live streaming video from drones,"Purcell, Cormac R; Walsh, Andrew J; Colefax, Andrew P; Butcher, Paul",Frontiers,2022,aerial survey; drone; remotely piloted aerial systemas; rpas; unmanned aerial vehicle; uav; deep learning; computer vision
Deep learning-based detection and tracking of fin whales using high-resolution space-borne remote sensing data,"Sanikommu, Vasavi; Sura, Akshaya; Chimirala, Pranavi",Elsevier/ScienceDirect,2025,deep learning; edge device; fin whale detection; semantic segmentation; spaceborne remote sensing; spectral bands
Gray whale detection in satellite imagery using deep learning,"Green, Katherine M; Virdee, Mala K; Cubaynes, Hannah C; Aviles‐Rivero, Angelica I; Fretwell, Peter T; Gray, Patrick C; Johnston, David W; Schönlieb, Carola‐Bibiane; Torres, Leigh G; Jackson, Jennifer A",Wiley Online Library,2023,convolutional neural network; eschrichtius robustus; gray whale; machine learning; remote sensing; vhr satellite imagery
Deep learning based whale detection from satellite imagery,"Kapoor, Saakshi; Kumar, Mukesh; Kaushal, Manisha",Elsevier/ScienceDirect,2023,whale detection; deep learning; tiny yolov3; vhr satellite imagery
Deep-sea organisms tracking using dehazing and deep learning,"Lu, Huimin; Uemura, Tomoki; Wang, Dong; Zhu, Jihua; Huang, Zi; Kim, Hyoungseop",Springer,2018,organisms tracking; dehazing; yolo
Deep image representations for coral image classification,"Mahmood, Ammar; Bennamoun, Mohammed; An, Senjian; Sohel, Ferdous; Boussaid, Farid; Hovey, Renae; Kendrick, Gary; Fisher, Robert B",IEEE,2018,classsification; corals; coral population; deep learning; marine ecosystems; marine images
Automatic detection of Western rock lobster using synthetic data,"Mahmood, Ammar; Bennamoun, Mohammed; An, Senjian; Sohel, Ferdous; Boussaid, Farid; Hovey, Renae; Kendrick, Gary",Oxford academic,2020,deep learning; lobster detection; marine science; synthetic data; underwater images
Shrimp recognition using ShrimpNet based on convolutional neural network,"Hu, Wu-Chih; Wu, Hsin-Te; Zhang, Yi-Fan; Zhang, Shu-Huan; Lo, Chun-Hung",Taylor and Francis Online,2020,shrimp recognition; convolutional neural network; deep learning
Real-time robust detector for underwater live crabs based on deep learning,"Cao, Shuo; Zhao, Dean; Liu, Xiaoyang; Sun, Yueping",Elsevier/ScienceDirect,2020,underwater image; automatic live crab detection; ssd; mobilenet; quantized-cnn
Reliable Object Recognition Using Deep Transfer Learning for Marine Transportation Systems With Underwater Surveillance,"Moghimi, Mohammad Kazem; Mohanna, Farahnaz",IEEE,2022,feature extraction; vídeos; transfer learning; training; surveillance; support vector machines; object recognition
DeepSeaNet: A Bio-Detection Network Enabling Species Identification in the Deep Sea Imagery,"Liu, Aiyue; Liu, Yuhai; Xu, Kuidong; Zhao, Feng; Zhou, Yuan; Li, Xiaofeng",IEEE,2024,data augmentation; deep-sea remotely operated vehicle; rov; new specied indication; real-time object detection networks; seamount fine-grained dataset
Development of a multi-modal deep-learning-based web application for image classification of marine decapods in conservation practice,"Zhou, Peng; Zhou, Zhinuo; Yang, Chenghan; Fang, Yi; Bu, Yu-Xin; Wang, Chun-Sheng; Zhang, Dong-Sheng; Shen, Hong-Bin; Pan, Xiaoyong",Frontiers,2025,decapoda; biodiversity; non-indigenous species; invasive species; deep learning; automated image classification
Applying Deep Learning to Quantify Drivers of Long-Term Ecological Change in a Swedish Marine Protected Area,"Nilsson, Christian L; Faurby, Søren; Burman, Emil; Germishuys, Jurie; Obst, Matthias",Wiley Online Library,2025,deep learning; hard-substrate communities; long-term ecological trens; marine protected áreas; mpas; object detection models; video-based biodiversity monitoring
Automatic deep learning-based pipeline for Mediterranean fish segmentation,"Muntaner-Gonzalez, Caterina; Nadal-Martínez, Antonio; Martin-Abadal, Miguel; Gonzalez-Cid, Yolanda",Frontiers,2025,deep learning; instance segmentation; fish classification; mediterranean fish; ecosystem monitoring
Deep learning for automated coral reef monitoring a novel system based on YOLOv8 detection and DeepSORT tracking,"Ouassine, Younes; Conruyt, Noël; Kayal, Mohsen; Martin, Philippe A; Bigot, Lionel; Regine, Vignes Lebbe; Moussanif, Hajar; Zahir, Jihad",Elsevier,2025,coral reefs ecosystems; deep learning; methodology; yolo; yolov8; deepsort
Fast accurate fish detection and recognition of underwater images with fast r-cnn,"Li, Xiu; Shang, Min; Qin, Hongwei; Chen, Liansheng",IEEE,2015,fish detection and recognition; fast r-cnn; underwater images; deep convnets
DeepFish: Accurate underwater live fish recognition with a deep architecture,"Qin, Hongwei; Li, Xiu; Liang, Jian; Peng, Yigang; Zhang, Changshui",Elsevier/ScienceDirect,2016,deep learning; object recognition; underwater; cascaded network
A deep learning method for accurate and fast identification of coral reef fishes in underwater images,"Villon, Sébastien; Mouillot, David; Chaumont, Marc; Darling, Emily S; Subsol, Gérard; Claverie, Thomas; Villéger, Sébastien",Elsevier/ScienceDirect,2018,marine fishes; convolutional neural network; underwater pictures; machine learning; automated identification
Improving transfer learning and squeeze-and-excitation networks for small-scale fine-grained fish image classification,"Qiu, Chenchen; Zhang, Shaoyong; Wang, Chao; Yu, Zhibin; Zheng, Haiyong; Zheng, Bing",IEEE,2018,deep learning; image classification; image recognition; transfer learning; underwater technology 
Real-time marine animal images classification by embedded system based on mobilenet and transfer learning,"Liu, Xuefeng; Jia, Zhenqing; Hou, Xiaoke; Fu, Min; Ma, Li; Sun, Qiaoqiao",MDPI,2019,cnn; convolutional neural network; parameter transfer; fine tuning; inception; underwater image
Cascaded deep network systems with linked ensemble components for underwater fish detection in the wild,"Labao, Alfonso B; Naval Jr, Prospero C",Elsevier/ScienceDirect,2019,fish detection in the wild; deep learning applications to the environment
Improving Pantanal fish species recognition through taxonomic ranks in convolutional neural networks,"dos Santos, Anderson Aparecido; Gonçalves, Wesley Nunes",Elsevier/ScienceDirect,2019,fish species recognition; pantanal; computer vision
Fish detection and species classification in underwater environments using deep learning with temporal information,"Jalal, Ahsan; Salman, Ahmad; Mian, Ajmal; Shortis, Mark; Shafait, Faisal",Elsevier/ScienceDirect,2020,automatic fish detection; fish species classification; fish sampling; biomass estimation; underwater vídeo imagery; gaussian mixture models; optical flow; deep learning
Improved deep learning framework for fish segmentation in underwater videos,"Alshdaifat, Nawaf Farhan Funkur; Talib, Abdullah Zawawi; Osman, Mohd Azam",Elsevier/ScienceDirect,2020,deep learning; instance segmentation; fish detection
Fish species recognition using an improved AlexNet model,"Ju, Zhiyong; Xue, Yongjie",Elsevier/ScienceDirect,2020,attention mechanism; deep learning; image recognition; transfer learning; convolutional neural networks
Crosspooled FishNet: transfer learning based fish species classification model,"Mathur, Monika; Vasudev, Diksha; Sahoo, Sonalika; Jain, Divanshi; Goel, Nidhi",Springer,2020,underwater image; convolutional neural network; fish species; resnet; cross convolutional layer pooling
