Medium,Study,Dataset,Arch,Hyperparamaters,,,Augmentation,,Pre-processing,Performance,Comparisons,,,Score,Normalized score,Balanced Score,Normalized balanced score,,,,
,,,,Software,Hardware,Parameters,Methods,Impact ratio,,Metrics,Setup,Arch,Dataset,,,,,,,,
,Maximum,2,4,1,1,6,1,1,1,3,3,3,3,29,1,13,1,,,,
Overwater,finFindR: Automated recognition and identification of marine mammal dorsal fins using residual convolutional neural networks,2,0,1,0,0,0,0,1,1,0,1,2,8,0.28,4.33,0.361,,Unsatisfactory,,
,Drones and convolutional neural networks facilitate automated and accurate cetacean species identification and photogrammetry,2,4,0,1,6,1,0,0,3,0,1,1,19,0.66,6.67,0.556,,Adequate,,
,Applying deep learning to right whale photo identification,2,4,1,1,1,1,0,1,1,3,3,1,19,0.66,8.83,0.736,,Great,,
,Aerial-trained deep learning networks for surveying cetaceans from satellite imagery,2,3,1,1,6,0,0,1,3,3,3,1,25,0.86,9.08,0.757,,Great,,
,A convolutional neural network for detecting sea turtles in drone imagery,2,4,1,0,5,0,0,1,3,0,1,1,18,0.62,6.50,0.542,,Adequate,,
,Whale counting in satellite and aerial images with deep learning,2,4,1,0,4,1,0,0,2,0,1,1,17,0.59,6.00,0.500,,Moderate,,
,JellyNet: The convolutional neural network jellyfish bloom detector,2,4,1,1,6,1,1,1,2,3,0,1,23,0.79,10.00,0.833,,Great,,
,Marine bird detection based on deep learning using high-resolution aerial images,2,4,1,1,4,1,0,1,3,3,1,2,23,0.79,9.67,0.806,,Great,,
,Weakly supervised detection of marine animals in high resolution aerial images,2,4,1,0,2,1,0,1,1,2,3,2,19,0.66,8.00,0.667,,Adequate,,
,A deep learning approach to photo–identification demonstrates high performance on two dozen cetacean species,2,4,0,1,6,1,0,1,2,3,3,3,26,0.90,9.67,0.806,,Great,,
,Assessing the ability of deep learning techniques to perform real-time identification of shark species in live streaming video from drones,1,4,1,1,4,1,1,1,2,0,2,2,20,0.69,9.17,0.764,,Great,,
,Deep learning-based detection and tracking of fin whales using high-resolution space-borne remote sensing data,2,4,1,1,6,1,0,1,2,1,3,3,25,0.86,10.00,0.833,,Great,,
,Gray whale detection in satellite imagery using deep learning,2,4,1,1,6,1,1,1,2,3,1,2,25,0.86,10.67,0.889,,Exceptional,,
,Deep learning based whale detection from satellite imagery,2,3,1,0,4,1,1,1,2,3,3,2,23,0.79,9.75,0.813,0.704,Great,,
Underwater,Live Fish Species Classification in Underwater Images by Using Convolutional Neural Networks Based on Incremental Learning with Knowledge Distillation Loss,2,4,0,0,0,1,0,0,1,3,3,1,15,0.52,5.67,0.472,,Moderate,,
,Shark detection and classification with machine learning,2,4,1,0,4,1,0,0,3,0,1,3,19,0.66,7.00,0.583,,Adequate,,
,DeepFish: Accurate underwater live fish recognition with a deep architecture,2,4,1,1,6,1,1,1,1,3,3,1,25,0.86,10.67,0.889,,Exceptional,,
,DAMNet: Dual attention mechanism deep neural network for underwater biological image classification,2,4,1,1,5,1,1,1,3,3,3,1,26,0.90,11.17,0.931,,Exceptional,,
,Cascaded deep network systems with linked ensemble components for underwater fish detection in the wild,2,4,0,0,4,1,1,1,1,3,2,2,21,0.72,8.33,0.694,,Adequate,,
,Improving Pantanal fish species recognition through taxonomic ranks in convolutional neural networks,1,4,1,1,5,1,1,1,2,1,3,1,22,0.76,9.67,0.806,,Great,,
,Fish detection and species classification in underwater environments using deep learning with temporal information,2,3,1,1,4,0,0,1,1,3,3,2,22,0.76,8.42,0.701,,Adequate,,
,Improved deep learning framework for fish segmentation in underwater videos,2,3,1,1,6,0,0,1,1,2,3,2,22,0.76,8.42,0.701,,Adequate,,
,Fish species recognition using an improved AlexNet model,2,3,1,1,3,1,1,0,2,3,3,1,21,0.72,9.25,0.771,,Great,,
,Crosspooled FishNet: transfer learning based fish species classification model,1,4,1,1,5,1,0,1,3,3,3,2,25,0.86,10.00,0.833,,Great,,
,Composited FishNet: Fish detection and species recognition from low-quality underwater videos,2,4,1,1,5,1,0,0,1,3,3,2,24,0.83,8.83,0.736,,Great,,
,FishResNet: Automatic Fish Classification Approach in Underwater Scenario,2,4,0,1,3,1,1,0,3,3,3,2,23,0.79,9.17,0.764,,Great,,
,Automatic underwater fish species classification with limited data using few-shot learning,2,0,0,0,1,1,1,0,2,3,1,3,14,0.48,6.17,0.514,,Moderate,,
,Automatic fish species classification using deep convolutional neural networks,2,3,1,0,5,1,0,1,2,3,2,2,22,0.76,8.58,0.715,,Adequate,,
,Temperate fish detection and classification: a deep learning based approach,2,4,0,1,5,1,0,1,1,3,3,2,23,0.79,8.83,0.736,,Great,,
,Improving transfer learning and squeeze-and-excitation networks for small-scale fine-grained fish image classification,2,4,1,1,1,1,0,1,1,3,3,3,22,0.76,9.50,0.792,,Great,,
,Real-time marine animal images classification by embedded system based on mobilenet and transfer learning,1,3,1,1,3,1,1,0,2,0,2,1,16,0.55,7.42,0.618,,Adequate,,
,Deep learning based deep-sea automatic image enhancement and animal species classification,1,4,1,1,3,0,1,1,3,3,3,3,25,0.86,10.00,0.833,,Great,,
,Fast accurate fish detection and recognition of underwater images with fast r-cnn,2,4,0,1,5,1,1,0,1,1,3,1,21,0.72,7.83,0.653,,Adequate,,
,A deep learning method for accurate and fast identification of coral reef fishes in underwater images,2,4,1,1,6,1,0,1,2,2,2,3,26,0.90,10.00,0.833,,Great,,
,Re-identification of fish individuals of undulate skate via deep learning within a few-shot context,2,4,1,1,6,1,1,1,2,0,1,1,21,0.72,9.33,0.778,,Great,,
,Targeted Data Augmentation and Hierarchical Classification with Deep Learning for Fish Species Identification in Underwater Images,2,4,1,1,3,1,1,0,3,1,2,2,21,0.72,9.17,0.764,,Great,,
,Enhanced deep learning models for automatic fish species identification in underwater imagery,2,4,1,1,6,0,0,1,2,3,3,1,24,0.83,9.00,0.750,,Great,,
,Transferable Deep Learning Model for the Identification of Fish Species for Various Fishing Grounds,2,4,1,1,5,0,0,1,1,3,3,3,24,0.83,9.17,0.764,,Great,,
,A Deep CNN-Based Salinity and Freshwater Fish Identification and Classification Using Deep Learning and Machine Learning,2,4,0,1,2,0,0,0,3,3,3,2,20,0.69,7.00,0.583,,Adequate,,
,Deep learning-based image classification of sea turtles using object detection and instance segmentation models,2,4,1,1,3,1,1,0,3,0,2,2,20,0.69,8.83,0.736,,Great,,
,DeepSeaVision: Enhanced Detection and Classification of Underwater Species,1,4,0,1,3,1,0,1,3,3,3,3,23,0.79,9.00,0.750,,Great,,
,Detection and multi-class classification of freshwater fish species using space-to-depth convolution and YOLOv11,2,4,1,1,6,1,1,1,3,3,3,3,29,1.00,12.00,1.000,0.739,Exceptional,,
Seabed,Deep-sea organisms tracking using dehazing and deep learning,2,2,0,0,2,0,0,1,2,0,2,1,12,0.41,4.50,0.375,,Unsatisfactory,,
,Shrimp recognition using ShrimpNet based on convolutional neural network,1,3,1,1,3,0,0,0,3,0,1,1,14,0.48,5.42,0.451,,Moderate,,
,Automatic detection of Western rock lobster using synthetic data,1,4,0,1,6,1,0,1,1,3,1,1,20,0.69,7.50,0.625,,Adequate,,
,Deep image representations for coral image classification,2,3,1,1,3,1,0,1,1,3,3,3,23,0.79,9.58,0.799,,Great,,
,Real-time robust detector for underwater live crabs based on deep learning,2,4,1,1,6,1,1,1,2,3,3,3,28,0.97,11.67,0.972,,Exceptional,,
,Reliable Object Recognition Using Deep Transfer Learning for Marine Transportation Systems With Underwater Surveillance,2,4,0,0,3,1,0,1,2,3,3,2,21,0.72,7.83,0.653,,Adequate,,
,DeepSeaNet: A Bio-Detection Network Enabling Species Identification in the Deep Sea Imagery,2,3,0,1,3,1,0,1,2,3,3,1,20,0.69,8.25,0.688,,Adequate,,
,Development of a multi-modal deep-learning-based web application for image classification of marine decapods in conservation practice,2,4,0,0,5,0,0,0,2,0,2,2,17,0.59,4.83,0.403,,Moderate,,
,Applying Deep Learning to Quantify Drivers of Long-Term Ecological Change in a Swedish Marine Protected Area,2,3,1,0,3,0,0,1,3,0,1,1,15,0.52,5.92,0.493,,Moderate,,
,Automatic deep learning-based pipeline for Mediterranean fish segmentation,2,4,1,1,6,1,1,1,2,3,1,3,26,0.90,11.00,0.917,,Exceptional,,
,Deep learning for automated coral reef monitoring a novel system based on YOLOv8 detection and DeepSORT tracking,2,2,0,0,1,1,1,1,2,2,2,2,16,0.55,7.33,0.611,0.635,Adequate,,
Water-column,Automatic segmentation of fish using deep learning with application to fish size measurement,2,2,0,1,1,1,0,1,2,1,0,2,13,0.45,6.33,0.528,,Adequate,,
,Research on multiple jellyfish classification and detection based on deep learning,2,4,0,0,5,1,1,1,1,2,2,1,20,0.69,7.83,0.653,,Adequate,,
,A study on enhancement of fish recognition using cumulative mean of YOLO network in underwater video images,2,4,1,1,3,0,0,0,2,0,3,1,17,0.59,6.50,0.542,,Adequate,,
,CME-YOLOv5: An efficient object detection network for densely spaced fish and small targets,1,4,1,1,4,0,0,0,2,3,3,1,20,0.69,7.17,0.597,,Adequate,,
,Development of fish spatio-temporal identifying technology using SegNet in aquaculture net cages,2,4,1,1,4,0,0,0,1,3,0,1,17,0.59,6.33,0.528,,Adequate,,
,A spatio-temporal recurrent network for salmon feeding action recognition from underwater videos in aquaculture,1,4,1,1,3,0,0,1,1,3,2,1,18,0.62,7.33,0.611,,Adequate,,
,Automatic fish population counting by machine vision and a hybrid deep neural network model,1,4,1,1,3,1,1,1,1,0,2,1,17,0.59,8.33,0.694,,Adequate,,4
,AquaVision: AI-Powered Marine Species Identification,1,3,1,0,1,1,0,1,2,0,2,3,15,0.52,6.75,0.563,,Adequate,,
,Automatic Recognition of Marine Creatures using Deep Learning,2,4,0,0,5,1,1,1,2,2,2,1,21,0.72,8.17,0.681,0.600,Adequate,,
,,,,,,,,,,,,,,,,,0.000,,,,
,,,,,,,,,,,,,,,,,0.000,,,,
,,,,,,,,,,,,,,,,,0.000,,,,
,,,,,,,,,,,,,,,,,0.000,,,,
,,,,,,,,,,,,,,,,,0.000,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0.00,0.00,0.000,,Unsatisfactory,,
,,,,,,,,,,,,,,0,0.00,0.00,0.000,,Unsatisfactory,,
,,,,,,,,,,,,,,0,0.00,0.00,0.000,,Unsatisfactory,,
,,,,,,,,,,,,,,0,0.00,0.00,0.000,,Unsatisfactory,,
,,,,,,,,,,,,,,0,0.00,0.00,0.000,,Unsatisfactory,,
